part abambulātus allbutnomsgn {{la-adecl|abambulātus}}
part abitus allbutnomsgn {{la-adecl|abitus}}
part adfluxus allbutnomsgn {{la-adecl|adfluxus}}
part adsurrēctus allbutnomsgn {{la-adecl|adsurrēctus}}
part adventus allbutnomsgn {{la-adecl|adventus}}
part affluxus allbutnomsgn {{la-adecl|affluxus}}
part anteventus allbutnomsgn {{la-adecl|anteventus}}
part assurrēctus allbutnomsgn {{la-adecl|assurrēctus}}
part buccinātus allbutnomsgn {{la-adecl|buccinātus}}
part būcinātus allbutnomsgn {{la-adecl|būcinātus}}
part cāsus allbutnomsgn {{la-adecl|cāsus}}
part cōnstitus allbutnomsgn {{la-adecl|cōnstitus}}
part dēfluxus allbutnomsgn {{la-adecl|dēfluxus}}
part ēventus allbutnomsgn {{la-adecl|ēventus}}
part fervitus allbutnomsgn {{la-adecl|fervitus}}
part hymnītus allbutnomsgn {{la-adecl|hymnītus}}
part lāpsātus allbutnomsgn {{la-adecl|lāpsātus}}
part pāritus allbutnomsgn {{la-adecl|pāritus}}
part perfluxus allbutnomsgn {{la-adecl|perfluxus}}
part perventus allbutnomsgn {{la-adecl|perventus}}
part reditus allbutnomsgn {{la-adecl|reditus}}
part reventus allbutnomsgn {{la-adecl|reventus}}
part saevītus allbutnomsgn {{la-adecl|saevītus}}
part sessus allbutnomsgn {{la-adecl|sessus}}
part servītus allbutnomsgn {{la-adecl|servītus}}
part subventus allbutnomsgn {{la-adecl|subventus}}
part vāpulātus allbutnomsgn {{la-adecl|vāpulātus}}
part ventus allbutnomsgn {{la-adecl|ventus}}
part vomitātus allbutnomsgn {{la-adecl|vomitātus}}
