noun adelphis allbutlemma {{la-ndecl|adelphis<3.navis>}}
noun cucumis @cucumem,@cucume {{la-ndecl|((cucumis/cucumer<3>,cucumis<3>))}}
noun pyritis allbutlemma {{la-ndecl|pyrītis/pyrīd<3.navis>}}
noun Alpis @Alpim,@Alpī:abl_sg {{la-ndecl|Alpis<3.navis.both>}}
noun ambages @ambāgim,@ambāgī:abl_sg,ambagium {{la-ndecl|ambāgēs<3.navis>}}
noun annalis @annālim,@annāle:abl_sg {{la-ndecl|annālis<3.navis>}}
noun batis @batim,@batī:abl_sg {{la-ndecl|batis<3.navis>}}
noun biremis @birēmim {{la-ndecl|birēmis<3.navis>}}
noun burgensis @burgēnsim,@burgēnsī:abl_sg {{la-ndecl|burgēnsis<3.navis>}}
noun buttis @buttim,@buttī:abl_sg {{la-ndecl|buttis<3.navis>}}
noun callis @callim,@callī:abl_sg {{la-ndecl|callis<3.navis>}}
noun capparis @capparem,@cappare:abl_sg {{la-ndecl|capparis<3.navis>}}
noun carnis @carnim {{la-ndecl|carnis<3.navis>}}
noun chrysocalis @chrȳsocalim,@chrȳsocalī:abl_sg {{la-ndecl|chrȳsocalis<3.navis>}}
noun concorporalis @concorporālim,@concorporālī:abl_sg {{la-ndecl|concorporālis<3.navis>}}
noun conpages @conpāgim,@conpāgī:abl_sg {{la-ndecl|conpāgis<3.navis>}}
noun contubernalis @contubernālim {{la-ndecl|contubernālis<3.navis>}}
noun convallis @convallim {{la-ndecl|convallis<3.navis>}}
noun deceris @decērim,@decērī:abl_sg {{la-ndecl|decēris<3.navis>}}
noun diaporesis @diaporēsim,@diaporēsī:abl_sg {{la-ndecl|diaporēsis<3.navis>}}
noun dodrans @dōdrantim,@dōdrantī:abl_sg {{la-ndecl|dōdrāns<3.navis>}}
noun ensis @ēnsī:abl_sg {{la-ndecl|ēnsis<3.ignis>}}
noun epizygis @epīzygidim,@epīzygidī:abl_sg {{la-ndecl|epīzygis/epīzygid<3.navis>}}
noun fabricensis @fabricēnsim,@fabricēnsī:abl_sg {{la-ndecl|fabricēnsis<3.navis>}}
noun faeles @faelim,@faelī:abl_sg {{la-ndecl|faeles/fael<3.navis>}}
noun faux @faucim,@faucī:abl_sg {{la-ndecl|faux<3.navis>}}
noun fidis @fidim,@fidī:abl_sg {{la-ndecl|fidis<3.navis>}}
noun inauris @inaurim,@inaurī:abl_sg {{la-ndecl|inauris<3.navis>}}
noun maialis @maiālim {{la-ndecl|maiālis<3.navis>}}
noun majalis @majālim {{la-ndecl|majālis<3.navis>}}
noun mathesis @mathēse:abl_sg {{la-ndecl|mathēsis<3.navis>}}
noun neptis @neptem,nepte:abl_sg {{la-ndecl|neptis<3.navis>}}
noun novalis @novālim {{la-ndecl|novālis<3.navis>}}
noun parotis @parōtidim,@parōtidī:abl_sg {{la-ndecl|parōtis/parōtid<3.navis>}}
noun penteris @pentērim,@pentērī:abl_sg {{la-ndecl|pentēris<3.navis>}}
noun perduellis @perduellim,@perduellī:abl_sg {{la-ndecl|perduellis<3.navis>}}
noun periscelis @periscelidim,@periscelidī:abl_sg {{la-ndecl|periscelis/periscelid<3.navis>}}
noun polygonoides @polygonoīdim,@polygonoīdī:abl_sg {{la-ndecl|polygonoīdēs<3.navis>}}
noun puls @pulsim,@pulsī:abl_sg {{la-ndecl|puls<3.navis>}}
noun quadrieris @quādriērim,@quādriērī:abl_sg {{la-ndecl|quādriēris<3.navis>}}
noun quadriremis @quādrirēmim {{la-ndecl|quādrirēmis<3.navis>}}
noun rudis @rudim {{la-ndecl|rudis<3.navis>}}
noun rupes @rūpim,@rūpī:abl_sg {{la-ndecl|rūpēs<3.navis>}}
noun sordes @sordim {{la-ndecl|sordes/sord<3.navis>}}
noun strages @strāgim {{la-ndecl|strāges/strāg<3.navis>}}
noun syrtis @syrtem,@syrte:abl_sg {{la-ndecl|syrtis<3.navis>}}
noun tabes @tābim,@tābī:abl_sg {{la-ndecl|tābes/tāb<3.navis>}}
noun tangens @tangentim,@tangentī:abl_sg {{la-ndecl|tangēns<3.navis>}}
noun testis @testī:abl_sg {{la-ndecl|testis<3.ignis>}}
noun tigris @tigrem,@tigre:abl_sg {{la-ndecl|tigris<3.navis>}}
noun torrens @torrentim,@torrentī:abl_sg {{la-ndecl|torrēns<3.navis>}}
noun torres @torrim,@torrī:abl_sg {{la-ndecl|torres/torr<3.navis>}}
noun triens @trientim,@trientī:abl_sg {{la-ndecl|triēns<3.navis>}}
noun valles @vallim,@vallī:abl_sg {{la-ndecl|vallēs<3.navis>}}
noun venter @ventrim,@ventrī:abl_sg {{la-ndecl|venter<3.navis>}}
noun vepris @vēprim,@vēprī:abl_sg {{la-ndecl|vēpris<3.navis>}}
noun zanthenes @zanthenim,@zanthenī:abl_sg {{la-ndecl|zanthenes/zanthen<3.navis>}}
noun Albis @Albem {{la-ndecl|Albis<3.ignis.loc>}}
