noun prænomen all {{la-decl-3rd-N|prænōmen}}
adj circuiens allbutlemma {{la-decl-3rd-part|circuiens}}
adj deiens allbutlemma {{la-decl-3rd-part|deiens}}
adj deperiens allbutlemma {{la-decl-3rd-part|dēperiens}}
adj disperiens allbutlemma {{la-decl-3rd-part|disperiēns}}
adj postiens allbutlemma {{la-decl-3rd-part|postiens}}
adj subintroiens allbutlemma {{la-decl-3rd-part|subintroiens}}
adj nequiens allbutlemma {{la-decl-3rd-part|nequiēns}}
adj transabiens allbutlemma {{la-decl-3rd-part|transabiēns}}
adj anteiens allbutlemma {{la-decl-3rd-part|anteiēns}}
adj pertransiens allbutlemma {{la-decl-3rd-part|pertrānsiēns}}
