noun abietarius voc_sg {{la-decl-2nd|abietāri}}
noun acuarius voc_sg {{la-decl-2nd|acuāri}}
noun adversarius voc_sg {{la-decl-2nd|adversāri}}
noun aerarius voc_sg {{la-decl-2nd|aerāri}}
noun antiquarius voc_sg {{la-decl-2nd|antīquāri}}
noun apothecarius voc_sg {{la-decl-2nd|apothēcāri}}
noun arcubius voc_sg {{la-decl-2nd|arcubi}}
noun argentarius voc_sg {{la-decl-2nd|argentāri}}
noun armentarius voc_sg {{la-decl-2nd|armentāri}}
noun automatarius voc_sg {{la-decl-2nd|automatāri}}
noun auxiliarius voc_sg {{la-decl-2nd|auxiliāri}}
noun aviarius voc_sg {{la-decl-2nd|aviāri}}
noun avicularius voc_sg {{la-decl-2nd|aviculāri}}
noun bibliothecarius voc_sg {{la-decl-2nd|bibliothēcāri}}
noun bibonius voc_sg {{la-decl-2nd|bibōni}}
noun Brietius voc_sg {{la-decl-2nd|Brieti|num=sg}}
noun buticularius voc_sg {{la-decl-2nd|būticulāri}}
noun butticularius voc_sg {{la-decl-2nd|butticulāri}}
noun caballarius voc_sg {{la-decl-2nd|caballāri}}
noun caementarius voc_sg {{la-decl-2nd|caementāri}}
noun caeparius voc_sg {{la-decl-2nd|caepāri}}
noun camerarius voc_sg {{la-decl-2nd|camerāri}}
noun cancellarius voc_sg {{la-decl-2nd|cancellāri}}
noun candelabrarius voc_sg {{la-decl-2nd|candēlābrāri}}
noun caragius voc_sg {{la-decl-2nd|caragi}}
noun carcedonius voc_sg {{la-decl-2nd|carcedoni}}
noun carpentarius voc_sg {{la-decl-2nd|carpentāri}}
noun casearius voc_sg {{la-decl-2nd|cāseāri}}
noun casiarius voc_sg {{la-decl-2nd|cāsiāri}}
noun ceilarius voc_sg {{la-decl-2nd|ceilāri}}
noun cementarius voc_sg {{la-decl-2nd|cementāri}}
noun charadrius voc_sg {{la-decl-2nd|charādri}}
noun chartularius voc_sg {{la-decl-2nd|chartulāri}}
noun choerogyllius voc_sg {{la-decl-2nd|choerogylli}}
