nounadj murilegus fem,neut {{la-decl-1&2|mūrileg}}
nounadj Cantabrus neut {{la-decl-1&2|Cantabr}}
noun prænomen all {{la-ndecl|prænōmen<3>}}
part circuiens allbutlemma {{la-decl-3rd-part|circuiens}}
part deiens allbutlemma {{la-decl-3rd-part|deiens}}
part deperiens allbutlemma {{la-decl-3rd-part|dēperiens}}
part disperiens allbutlemma {{la-decl-3rd-part|disperiēns}}
part postiens allbutlemma {{la-decl-3rd-part|postiens}}
part subintroiens allbutlemma {{la-decl-3rd-part|subintroiens}}
part nequiens allbutlemma {{la-decl-3rd-part|nequiēns}}
part transabiens allbutlemma {{la-decl-3rd-part|transabiēns}}
part anteiens allbutlemma {{la-decl-3rd-part|anteiēns}}
part pertransiens allbutlemma {{la-decl-3rd-part|pertrānsiēns}}
