piacere: piaciamo
piacersi: piaciamoci
giacere: giaciono
compiacere: compiaciamo,compiaciono
compiacersi: compiaciamoci,compiacutosi
scompiacere: scompiacuto,scompiaciamo,scompiaciate,scompiaciono
spiacere: spiaciamo,spiaciono
dispiacere: dispiaciamo,dispiaciono
dispiacersi: dispiaciamoci
tacere: taciono
tangere: tanguto,tangei,tangesti,tangette,tangé,tangemmo,tangeste,tangettero,tangerono
ebere: ebevo,ebevi,ebeve,ebeviamo,ebevete,ebevono,ebevevo,ebevevi,ebeveva,ebevevamo,ebevevate,ebevevano,ebevei,ebevvi,ebevetti,ebevesti,ebevve,ebevette,ebevemmo,ebeveste,ebevvero,ebevettero,eberrò,eberrai,eberrà,eberremo,eberrete,eberranno,eberrei,eberresti,eberrebbe,eberremmo,eberreste,eberrebbero,ebeva,ebeviate,ebevano,ebevessi,ebevesse,ebevessimo,ebevessero
scorazzare: scorazzo,scorazzi,scorazza,scorazziamo,scorazzate,scorazzano,scorazzavo,scorazzavi,scorazzava,scorazzavamo,scorazzavate,scorazzavano,scorazzai,scorazzasti,scorazzò,scorazzammo,scorazzaste,scorazzarono,scorazzerò,scorazzerai,scorazzerà,scorazzeremo,scorazzerete,scorazzeranno,scorazzerei,scorazzeresti,scorazzerebbe,scorazzeremmo,scorazzereste,scorazzerebbero,scorazziate,scorazzino,scorazzassi,scorazzasse,scorazzassimo,scorazzassero
provvedere: provvedrò,provvedrai,provvedrà,provvedremo,provvedrete,provvedranno
benedire: benedi'
maledire: maledi'
svignarsela: svignantesela,svignatosela
cavarsela: cavantesela,cavatasela
cavarsi: cavatosi
farsela: farcentesela,fattasela
prendersela: prendentesela,presasela
sentirsela: sententesela,sentitasela,sentitala
vedersela: vedentesela,vistasela,vedutasela
spassarsela: spassantesela,spassatasela,spassatala
squagliarsela: squagliantesela,squagliatasela,squagliatala
squagliarsi: squagliantesi,squagliatosi
aversela: aventesela,avutasela
battersela: battentesela,battutosela
bersela: beventesela,bevutosela
cercarsela: cercantesela,cercatosela
contarsela: contantesela,contatosela
dormirsela: dormentesela,dormita,dormitosela
filarsela: filantesela,filatosela
fumarsela: fumantesela,fumatosela
giostrarsela: giostrantesela,giostratosela
giostrarsi: giostratosi
giostratosi: giostratasi,giostratisi,giostratesi
meritarsela: meritantesela,meritatosela
scioccare: schioccerò,schioccerai,schioccerà,schiocceremo,schioccerete,schiocceranno,schioccerei,schiocceresti,schioccerebbe,schiocceremmo,schioccereste,schioccerebbero
malfare: malfaccio,malfò,malfai,malfà,malfacciamo,malfate,malfanno,malfacevo,malfacevi,malfaceva,malfacevamo,malfacevate,malfacevano,malfeci,malfacesti,malfece,malfacemmo,malfaceste,malfecero,malfarò,malfarai,malfarà,malfaremo,malfarete,malfaranno,malfarei,malfaresti,malfarebbe,malfaremmo,malfareste,malfarebbero,malfaccia,malfacciate,malfacciano,malfacessi,malfacesse,malfacessimo,malfacessero,malfa',malfacendo,malfacente
