### From before
n5 lūxuriēs
v3 prŏfundō prŏfūd prŏfūs
v3 tinguō tīnx tīnct
a3 īnfēstior
a1 īnfēstus
#
### Other
a3 bovīlis
a1 reflexīvus
a3 sphaeroīdēs
n2 muscārium
pn1 Marīa
pn1 Adriāna
n3 abligurrītiō
n1 neāniās
a1 foeminīnus
a1 faeminīnus
a1 puerīnus
a3 bovīlis
n2 pūnctillum
n2 pūnctōrium
n1 pūnctiuncula
n3 impetīx
a1 cedrinus
a1 hiericuntīnus
a1 hȳdrūntīnus
a1 longispīnus
a1 sabrīnus
a1 vestīnus
pn1 Baiae
a1 baiānus
n3 baiulātiō
a1 baiulātōrius
v1 baiulō
n2 baiulus
n3 bajulātiō
a1 bajulātōrius
v1 bajulō
n2 bajulus
a1 dēcīsōrius
a1 rīsōrius
a3 mediēvālis
a3 modālis
a3 sacrolumbālis
n3 superumerāle
n3 migāle
n4 equitātus
n2 adgnātus
n2 dromedārius
n2 indūsiārius
n2 supernumerārius
pn2 Belisārius
n2 putōrius
n2 adventūrus
n4 cāsūrus
n1 dromedāria
n2 muscārium
n2 sīparium
n2 sappīnus
n2 tīnus
n3 cohērēs cohērēd
pn3 Achillēs Achill
a1 Caiētānus
a1 Cajētānus
v4 dehauriō dehaus dehaust
v3 deūrō deuss deust
v1+ dēiūdicō
v1+ dēiūrō
v1+ deōsculor
v4+ dēserviō
v1+ prōmūtuor
v1+ prŏpīnō
v1+ prōspectō
v3 contribuō contribu contribūt
v1+ excerebrō
v1+ exfoliō
v1+ peiūrō
v1+ peierō
v1+ pejerō
v1+ peiōrō
v1+ pejōrō
v1+ expeiūrō
v1+ expejūrō
virreg fabrēfaciō
v1+ febricitō
v1+ hālūcinor
v1+ jejūnō
v1+ ieiūnō
n2 ieiūnus
n2 jejūnus
n2 ieiūnium
n2 jejūnium
virreg lucrifaciō
v1+ mānicō
virreg obdūrēfaciō
v3 objiciō objēc object
v1+ obsetrīcō
v1+ obstetrīcō
v1+ opprobrō
v1+ pigrō
v1+ pigror
v1+ pigritō
v1+ pigritor
virreg putrefaciō
v3 rejiciō rejēc reject
v4 rugiō rugīv/rugi
v1+ triplicō
v1 abbātizō abbātizāv
v1 acontizō
v1 allēgorizō allēgorizāv
v1+ anathematizō
v1+ arōmatizō
v1+ baptizō
v1+ catēchizō
v1+ catēcizō
v1+ citharizō
v1+ colaphizō
v1+ dogmatizō
v1+ ēvangelizō
v1+ iūdaizō
v1+ prophētizō
v1+ pulverizō
v1+ sabbatizō
#
# participles
part1 dēfactus
part1 dēfugiendus
part1 dēposcendus
part1 prŏfessus
part3 prōfugiēns
part1 abolēfaciendus
part1 ārefaciendus
part1 concīdendus
part1 dēcīdendus
part3 dēcīdēns
part1 diffāmandus
part1 ēblandiendus
part1 effēminandus
part1 effētandus
part1 exauctōrandus
part1 excīdendus
part1 exclāmandus
part1 excrībendus
part1 exiūrandus
part1 exjūrandus
part1 expergēfaciendus
part1 expīrandus
part1 explānandus
part1 exsībilandus
part1 extrīcandus
part1 extrūdendus
part1 exūberandus
part1 fābulandus
part1 fastīgandus
part1 fatīgandus
a1 fēminātus
part1 fervēscendus
part1 festīnandus
part1 fētandus
part1 fētendus
part1 fidējubendus
part1 figūrandus
part1 fīniendus
part3 flăgrāns
part1 flātandus
part1 fōderandus
part1 formīdandus
part1 fortūnandus
part1 frāglandus
part1 frāgrandus
part1 frēnandus
part1 frūmentandus
part1 fūmandus
part1 fūnestandus
part1 genūflectendus
part1 glūbendus
part1 glūtinandus
part1 grātificandus
part1 grātulandus
part1 hālandus
part1 hērēditandus
part1 hībernandus
part1 honōrificandus
part1 īciendus
part1 ieiūnandus
part1 ignōtus
part1 illīdendus
part1 illūdendus
part1 imāginandus
part1 immūtandus
part1 implānandus
part1 ināniendus
part1 incēdendus
part1 inclāmandus
part1 inclīnandus
part1 inclūdendus
part1 indūrandus
part1 īnfāmandus
part1 inhālandus
part1 inhērēditandus
part1 inhonōrandus
part1 inimīcandus
part1 iniūriandus
part1 injūriandus
part1 inlīdendus
part1 inlūminandus
part1 inmūtandus
part1 innāvigandus
part1 inplānandus
part1 inplōrandus
part1 inquiētandus
part1 inrītandus
part1 īnsāniendus
part1 īnspīrandus
part1 īnstīgandus
part1 intercīdendus
part1 intervīsendus
part1 intrōferendus
part1 intrōgrediendus
part1 intrōmittendus
part1 intrōrumpendus
part1 invīsendus
part1 irrīdendus
part1 irrītandus
part1 iūbilandus
part1 iūcundandus
part1 jūbilandus
part1 jūrandus
part1 lacūnandus
part1 lāpsandus
part1 lascīviendus
part1 lātrandus
part1 latrōcinandus
part1 lēgandus
part1 lētandus
part1 līandus
part1 ligūriendus
part1 līmandus
part1 līneandus
part1 liquēscendus
part1 lītigandus
part1 locuplētandus
part1 lōrīcandus
part1 lūbricandus
part1 lūminandus
part1 mācerandus
part1 māchinandus
part1 mānandus
part1 mānsuētandus
part1 meliōrandus
part1 mendīcandus
part1 merīdiandus
part1 mētandus
part1 mētiendus
part1 mīlitandus
part1 minōrandus
part1 mīrificandus
part1 mītēscendus
part1 mōliendus
part1 mōtandus
part1 mūnerandus
part1 nāvandus
part1 negōtiandus
part1 nepōtandus
part1 nīdificandus
part1 nīdulandus
part1 nōbilitandus
part1 nōdandus
part1 nūdandus
part1 nūgandus
part1 nūtandus
part1 obēdiendus
part1 oblīdendus
part1 oblīquandus
part1 obsōnandus
part1 obtrūdendus
part1 obtūrandus
part1 offōcandus
part1 ōminandus
part1 opīnandus
part1 oppīlandus
part1 pābulandus
part1 pācandus
part1 pācificandus
part1 pālandus
part1 percīdendus
part1 percōlandus
part1 percōnandus
part1 perdēcipiendus
part1 perdūrandus
part1 peregrīnandus
part1 perēvacuandus
part1 perīclitandus
part1 periūrandus
part1 permētiendus
part1 perpācandus
part1 persalūtandus
part1 perscrūtandus
part1 persōnātus
part1 pinguēscendus
part1 pīpiandus
part1 plūmandus
part1 postpōnendus
part1 postscrībendus
part1 pōtiōnandus
part1 praecīdendus
part1 praeclāmandus
part1 praeclūdendus
part1 praecōgitandus
part1 praecūrandus
part1 praedēterminandus
part1 praedispōnendus
part1 praefestīnandus
part1 praefōcandus
part1 praejūdicandus
part1 praelūdendus
part1 praestōlandus
part1 praesuppōnendus
part1 praevāricandus
part1 prōcīdendus
part1 prōclīnandus
part1 prōcubandus
part1 prōcumbendus
part1 prōcurrendus
part1 prōdocendus
part1 profānandus
part1 prōiciendus
part1 prōjiciendus
part1 prōlectandus
part1 prōloquendus
part1 prōmonendus
part1 prophētandus
part1 prōrītandus
part1 prōrogandus
part1 prōruendus
part1 prōscindendus
part1 prōsēminandus
part1 prōsequendus
part1 prōsiliendus
part1 prōtēlandus
part1 prōterrendus
part1 prōtestandus
part1 prōtūberandus
part1 prōturbandus
part1 prōveniendus
part1 prōvolandus
part1 prōvolvendus
part1 pūrificandus
part1 quiētandus
part1 racēmandus
part1 ratiōcinandus
part1 reclāmitandus
part1 reclīnandus
part1 reclūdendus
part1 recōgitandus
part1 refigūrandus
part1 reflāgitandus
part1 reformīdandus
part1 refrāgandus
part1 refrīgerandus
part1 reglūtinandus
part1 rēgulandus
part1 reinvītandus
part1 remānandus
part1 remētiendus
part1 repōnendus
part1 reprōmittendus
part1 resupīnandus
part1 retrōcēdendus
part1 retrōgradiendus
part1 retrōspiciendus
part1 reūniendus
part1 rīmandus
part1 rīvandus
part1 rōbīginandus
part1 rōdendus
part1 rōrandus
part1 rūbīginandus
part1 rubrīcandus
part1 rūgiendus
part1 rūmigandus
part1 rūsticandus
part1 sagīnandus
part1 salīvandus
part1 sāviandus
part1 scītandus
part1 scōpandus
part1 sēmigrandus
part1 sēmovendus
part1 sermōcinandus
part1 sībilandus
part1 sōlandus
part1 sōpiendus
part1 sopōrandus
part1 spūmandus
part1 spūtandus
part1 suāviandus
part1 subdēficiendus
part1 subdīvidendus
part1 sublīmandus
part1 submūtandus
part1 subnāvigandus
part1 subrīdendus
